@relation student_engagement_raw-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NominalToBinary-Rfirst-last-weka.filters.unsupervised.attribute.ReplaceMissingValues-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute Dept=Sci_binarized {0,1}
@attribute Dept=eng_binarized {0,1}
@attribute Dept=Arts_binarized {0,1}
@attribute Dept=Busi._binarized {0,1}
@attribute Dept=Biz_binarized {0,1}
@attribute Dept=Eng_binarized {0,1}
@attribute Category=Technical_binarized {0,1}
@attribute Category=Cultral_binarized {0,1}
@attribute Category=Social_binarized {0,1}
@attribute Category=Cultural_binarized {0,1}
@attribute Category=Sports_binarized {0,1}
@attribute Category=Leadership_binarized {0,1}
@attribute Scale=National_binarized {0,1}
@attribute Scale=intr-college_binarized {0,1}
@attribute Scale=NATL_binarized {0,1}
@attribute Scale=Dept_binarized {0,1}
@attribute Scale=Inter-college_binarized {0,1}
@attribute Scale=dept._binarized {0,1}
@attribute Participation=volunteer_binarized {0,1}
@attribute Participation=LEAD_binarized {0,1}
@attribute Participation=Volunteer_binarized {0,1}
@attribute Participation=Organizer_binarized {0,1}
@attribute Participation=Lead_binarized {0,1}
@attribute Participation=Attendee_binarized {0,1}
@attribute Participation=attendee_binarized {0,1}
@attribute Freq_binarized {0,1}
@attribute Time_Inv_binarized {0,1}
@attribute Prior_Exp=Yes_binarized {0,1}
@attribute Prior_Exp=No_binarized {0,1}
@attribute Prior_Exp=YES_binarized {0,1}
@attribute Prior_Exp=y_binarized {0,1}
@attribute Motivation=ResumeBuilding_binarized {0,1}
@attribute Motivation=Social_binarized {0,1}
@attribute Motivation=Resume_binarized {0,1}
@attribute 'Motivation=Skill Dev_binarized' {0,1}
@attribute Motivation=Socializing_binarized {0,1}
@attribute Role=team_binarized {0,1}
@attribute Role=Team_binarized {0,1}
@attribute Role=Individual_binarized {0,1}
@attribute Mentor=No_binarized {0,1}
@attribute Mentor=Yes_binarized {0,1}
@attribute Mentor=YES_binarized {0,1}
@attribute Achievement {High_Achiever,'High Achiever',Participant,'Consistent Contributor'}

@data
1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,High_Achiever
0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,'High Achiever'
1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,1,1,'High Achiever'
0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,High_Achiever
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,'High Achiever'
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,High_Achiever
1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,1,Participant
0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,High_Achiever
0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,High_Achiever
0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,Participant
1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,High_Achiever
0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,Participant
0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,Participant
1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,'Consistent Contributor'
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,'Consistent Contributor'
1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,Participant
0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,'High Achiever'
